index,source_id,source_path,file_type,word_count,decision,reason
34,1ZMWofhVRj7ns7ujiaSkc7_5Ht9Ii_4qB0uNzwN1PtTw,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Liquid Rocketry Bible/Liquid Rocketry at Illinois Technical Handbook,txt,3630,keep,force_keep:liquid rocketry at illinois technical handbook
35,1Kx4gslI0l48Ok_vUJx7xx8bdNUPWnbIq,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Liquid Rocketry Bible/Overture 10/7/2025.pdf,pdf,14646,keep,kept
36,1hVYR-ddJNK3R_neTcsoZFAZt8TCT5fAuB1GEFLa0DlA,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/SRR/FIS Propulsion Module: SRR Slides,pdf,1262,keep,kept
37,1ItmcxwBKoqEU2CX7LlCiOJRviTe_rCQlIKqAbXNz0HQ,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/SRR/FIS SRR Notes,txt,689,keep,kept
38,12tM8-XkHcoZLx-TGs-IArF7Qwl5C6_UmYGmMpR5y6oE,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Templates/Check Valve Troubleshoot Task Document ,txt,803,keep,kept
39,1jN6qtEXvA2LKTY5_ILvoM-axjloI27tx8yp-8Fnl7mY,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Templates/Copy of Task Document Template,txt,47,keep,kept
40,1xcYWDAlUg5ryvbeNHmn94itR7u8kh7l8UInG-uKaFsk,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing team structure,txt,28,keep,kept
41,1kzqXV4h8QIg-6MeU3rb1Dn1gnDyg_dHc--Qf4AgWIko,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing Tasks,txt,772,keep,kept
42,1SwX6lf-_Br9P844X-fjUTUvnZ7dkRXukNluGxjtfF_w,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Tube sızıng,txt,161,keep,kept
43,15x1Ly0Gz6R0SoCDDTHTJ8K4x46P8VYeYokOr1N6QZIk,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Globe Valve Search for E-Reg,txt,45,keep,kept
44,1lZhurOJCNQdjcwpXxO0gFntDul7xQjOkIbVZ4TAtIH0,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Nitrogen tanks on ground?,txt,259,keep,kept
45,1AsxysV1SmV5Kr4Jele9eUY-Rthm0u971brmeYAjpmpA,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Test Stand Procedures and Safety,txt,619,keep,kept
46,1f_-jrZy6ntob_5elg6xnN2I84iIZjbLi_r5l5zA9Dlc,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Shopping list,txt,36,keep,kept
47,1iqdn-99D9zD1jEh9GVyS3C6eN-whc1i15bHEryemqvQ,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing Links,txt,185,keep,kept
48,10PCHPJaKD2Fz6IjCODZGWbAi8woLQKeNzUIi0piQ6uY,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing Procedure Draft,txt,159,keep,kept
49,1NkmHZznDD0Hhe9lHTDYvvFNpqdqfd1hcptWgO8-zekw,Technical Teams/Fluids and Internal Structures/Archive/Arduino Code/RAND-E Pressure Transducers,txt,1156,keep,kept
50,14rMYcNOsUK6bA4CJDl1YpehBjvojWjpG0EM0OkEM79g,Technical Teams/Fluids and Internal Structures/Archive/Grunt OF Analysis,txt,292,keep,kept
51,1jFBJaEXsbmFdffSjpCLZ0cgifjOCed26_uun_RF5oGA,Technical Teams/Fluids and Internal Structures/Archive/Proposed Source of Truth Requirements,txt,301,keep,kept
52,1CkaYQBrknFr7BSGZXgIsA5bjtBBzUD35,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/3/13/25 Water Flow Testing/Trial 5/6/7 Raw Data/14-03-2025-00-19-52-146-1-PT6-OX-PROP.csv,csv,280272,skip,path_contains:raw data
53,1GPZj7z0ZnuBUFAzS8Bj6DVVzzKz0Tepj,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/3/13/25 Water Flow Testing/Trial 5/6/7 Raw Data/14-03-2025-00-19-44-146-6-PT3-OX-TNK.csv,csv,43983,skip,path_contains:raw data
54,1WbjekD9ZPU1oUd53hFpJmY_AgGNaeIuD,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/3/13/25 Water Flow Testing/Trial 5/6/7 Raw Data/14-03-2025-00-19-48-146-7-PT4-F-TNK.csv,csv,323601,skip,path_contains:raw data
55,1aLThtKASE42fFHrvedxMyTXDnnBm9Z8H,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/3/13/25 Water Flow Testing/Trial 5/6/7 Raw Data/14-03-2025-00-19-55-146-2-PT7-F-PROP.csv,csv,295723,skip,path_contains:raw data
56,1JXcwqQyfLcDg6Br0YAVgkrLRozZEf33hp1xoM1_nDCU,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/Summer 2024 Water Flow Tests Report,txt,171,keep,kept
